token_cap,reserved_slots,refill,proc_delay,repeat,success,failures,processed,tokens_left,max_queue_len,time_ms,elapsed_ms,exit_code,logfile
128,16,4,5,1,528,2672,528,128,496,3047.138,3047.138,0,
128,16,8,1,1,528,2672,528,128,496,995.342,995.342,0,
128,16,8,2,1,527,2673,527,128,496,1472.902,1472.902,0,
128,16,8,5,1,527,2673,527,128,496,3045.721,3045.721,0,
128,16,16,1,1,528,2672,528,128,496,989.146,989.146,0,
128,16,16,2,1,528,2672,528,128,496,1514.232,1514.232,0,
128,16,16,5,1,528,2672,528,128,496,3079.565,3079.565,0,
128,32,4,1,1,528,2672,528,128,496,971.896,971.896,0,
128,32,4,2,1,528,2672,528,128,496,1483.257,1483.257,0,
128,32,4,5,1,528,2672,528,128,496,3071.533,3071.533,0,
128,32,8,1,1,520,2680,520,128,496,979.962,979.962,0,
128,32,8,2,1,528,2672,528,128,496,1500.074,1500.074,0,
128,32,8,5,1,528,2672,528,128,496,3040.232,3040.232,0,
128,32,16,1,1,513,2687,513,128,496,1005.872,1005.872,0,
128,32,16,2,1,528,2672,528,128,496,1478.254,1478.254,0,
128,32,16,5,1,527,2673,527,128,496,3019.542,3019.542,0,
128,64,4,1,1,528,2672,528,128,496,1002.49,1002.49,0,
128,64,4,2,1,528,2672,528,128,496,1495.55,1495.55,0,
128,64,4,5,1,520,2680,520,128,496,2979.561,2979.561,0,
128,64,8,1,1,528,2672,528,128,496,1016.819,1016.819,0,
128,64,8,2,1,528,2672,528,128,496,1517.608,1517.608,0,
128,64,8,5,1,513,2687,513,128,496,2993.894,2993.894,0,
128,64,16,1,1,527,2673,527,128,496,1071.686,1071.686,0,
128,64,16,2,1,528,2672,528,128,496,1557.337,1557.337,0,
128,64,16,5,1,528,2672,528,128,496,3133.047,3133.047,0,
128,128,4,1,1,528,2672,528,128,496,1040.979,1040.979,0,
128,128,4,2,1,528,2672,528,128,496,1564.89,1564.89,0,
128,128,4,5,1,528,2672,528,128,496,3128.94,3128.94,0,
128,128,8,1,1,513,2687,513,128,496,1015.793,1015.793,0,
128,128,8,2,1,528,2672,528,128,496,1555.384,1555.384,0,
128,128,8,5,1,528,2672,528,128,496,3168.93,3168.93,0,
128,128,16,1,1,528,2672,528,128,496,990.524,990.524,0,
128,128,16,2,1,517,2683,517,128,496,1440.659,1440.659,0,
128,128,16,5,1,527,2673,527,128,496,3054.263,3054.263,0,
256,16,4,1,1,528,2672,528,132,496,1120.001,1120.001,0,
256,16,4,2,1,528,2672,528,132,496,1550.059,1550.059,0,
256,16,4,5,1,520,2680,520,136,496,3080.522,3080.522,0,
256,16,8,1,1,528,2672,528,256,496,1022.028,1022.028,0,
